ParticipantID,Email,Topic 1,Condition 1,Session 1 Files,Survey 1,Exam 1,Topic 2,Condition 2,Session 2 Files,Survey 2,Exam 2,...13
1uJcA8,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
6yX1Gv,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
mi7of1,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
nqc10B,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
W67wMJ,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
47ca4D,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
5MduQQ,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
sHs2q5,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
6jfSCh,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
w9N53b,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
0583fE,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
Vvj620,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
l3Vg7V,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
OVsRrI,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
jc6FN8,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
8E1o33,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
33zZF2,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
2Fw1NR,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
707VJq,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
YIR8TY,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
bIsEZI,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
KB17tz,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
tjVt16,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
akNRN2,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
rHnQZh,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
H254QA,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
N34e09,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
zaiE3P,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
r41JEI,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
PFmBzT,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
4pRgB2,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],[REDACTED]
0B76A1,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
y0NJLN,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
4NFuLm,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
a6014A,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
3DA6hq,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
zb6499,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
UADHvR,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
7O7JKn,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
524w6h,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
mVh5gx,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
v11g88,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
37Cm49,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
q75vtS,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
63yrBh,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
YDv2jI,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
6bXhPL,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
4BsCoT,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
BL5tn7,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
Z8rw10,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
odnfJm,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
O55qLg,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
E1bMkw,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
ihR417,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
YJTZ0c,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
RnoI6s,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
8DtQ5Q,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
YEzK3t,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
VzRf45,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
T1sCdy,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
t0KK4L,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
cI52Eb,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
V4rtuQ,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
6GlVqZ,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
4fFna3,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
OIF11M,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
tl1L43,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
S59R8g,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
njd7eP,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
DP58n3,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
pr9B63,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
wy20Bn,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
zC7z2l,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
OdnO8I,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
dPsk6f,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
ew2901,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
TyaiUq,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
FL17Q9,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
L1kQLu,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
Z25OB7,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
wb5iyr,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
r1SDie,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
5Wdsbj,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
34zi3J,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
Ulac9Z,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
CA8gnm,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
H2eKnn,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
506TqE,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
5r0EVy,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
fH7s05,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
oo99fL,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
D7Iz2O,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
74ZSqP,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
FNwLpx,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
1eM4q8,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
u6s3Bn,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
i34284,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
k20GlX,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
cSxzih,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
M7eIDz,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
r66Wf6,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
53qa2B,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
I0CKUr,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
9P42Lw,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
Y1Fqrw,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
Xuf9yE,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
c3qAXM,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
iQ24S3,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
0eoWYr,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
4751l0,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
Olw66f,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
k4A099,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
v6vr81,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
3pZU4l,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
A7Dr62,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
LObc5R,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
NHV79M,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
iRiklQ,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
5denf1,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
lX9960,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
cqv024,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
gCRlmC,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
58Zlus,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
V4xJ69,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
4K63VB,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
Vtw3D6,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
mqIYDO,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
al4XeY,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
Kchgmw,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
L7Ebi9,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
CL8egG,[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
